Date,Price,Open,High,Low,Vol.,Change %
"Mar 03, 2019",3944.3,3823.2,3964,3681.8,19.19M,3.17%
"Feb 24, 2019",3823.1,4120.5,4194.2,3701.9,12.42M,-7.21%
"Feb 17, 2019",4120.4,3616.8,4152.6,3607.9,5.61M,13.92%
"Feb 10, 2019",3616.8,3661,3681.1,3580.2,3.65M,-1.22%
"Feb 03, 2019",3661.4,3502.3,3721.1,3382.5,3.78M,4.54%
"Jan 27, 2019",3502.5,3570.9,3583.2,3368.2,3.68M,-1.92%
"Jan 20, 2019",3570.9,3676.2,3699.1,3465.2,3.16M,-2.91%
"Jan 13, 2019",3677.8,3597.3,3715.2,3473.2,3.50M,2.24%
"Jan 06, 2019",3597.2,3785.7,4070.5,3561.3,3.80M,-4.97%
"Dec 30, 2018",3785.4,3708.2,3894.8,3658.8,3.52M,2.12%
"Dec 23, 2018",3706.8,3964.3,4208.2,3560.8,4.18M,-6.50%
"Dec 16, 2018",3964.4,3228.6,4153.1,3225.9,4.77M,22.79%
"Dec 09, 2018",3228.7,3430.3,3677.6,3177,2.82M,-5.88%
"Dec 02, 2018",3430.4,4196.2,4316.1,3251.8,2.98M,-18.25%
"Nov 25, 2018",4196.2,3920.3,4440.1,3634.2,3.46M,7.03%
"Nov 18, 2018",3920.4,5621,5727.9,3821.5,2.69M,-30.26%
"Nov 11, 2018",5621.8,6427.1,6475.9,5384.1,1.64M,-12.53%
"Nov 04, 2018",6427.1,6386.2,6594.3,6359.7,1.04M,0.64%
"Oct 28, 2018",6386.2,6494.6,6502.2,6257.8,897.36K,-1.66%
"Oct 21, 2018",6494.2,6575.9,6643.1,6473.7,685.44K,-1.19%
"Oct 14, 2018",6572.2,6321.6,7358.4,6300,1.21M,3.96%
"Oct 07, 2018",6321.7,6596.3,6699.5,6206.2,907.69K,-4.16%
"Sep 30, 2018",6596.3,6603.9,6682.3,6034.9,64.74M,-0.12%
"Sep 23, 2018",6603.9,6729.6,6809.2,5977,59.02M,-1.87%
"Sep 16, 2018",6729.6,6519,6833.3,6144.5,33.27M,3.23%
"Sep 09, 2018",6519,6184.3,6867.3,6148.8,22.18M,5.41%
"Sep 02, 2018",6184.3,7189.6,7409.9,6132.3,26.79M,-13.98%
"Aug 26, 2018",7189.6,6734.9,7264.3,6573.1,26.36M,6.75%
"Aug 19, 2018",6734.8,6379.1,6840.8,6255.9,20.84M,5.58%
"Aug 12, 2018",6379.1,6232.1,6626.4,5898.3,17.63M,2.37%
"Aug 05, 2018",6231.6,7014,7149.7,6009.8,1.71M,-11.16%
"Jul 29, 2018",7014.3,8231.5,8275.4,6949.7,1.55M,-14.81%
"Jul 22, 2018",8234.1,7409,8484.6,7343.7,1.80M,11.14%
"Jul 15, 2018",7408.7,6254.8,7683.6,6238.5,1.92M,18.45%
"Jul 08, 2018",6254.8,6765.4,6793.8,6088.8,1.88M,-7.55%
